EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4326.282227,4319.358887,4328.205078,4329.358887,4352.692383,4294.102539,4292.179688,4286.666504,4241.538574,4216.794922,4375.256348,4382.692383,4320.769043,4398.846191
4323.717773,4308.077148,4327.692383,4316.025879,4343.846191,4290.512695,4296.794922,4298.333496,4254.743652,4233.974121,4380.256348,4393.974121,4325.769043,4401.153809
4330.128418,4306.410156,4333.077148,4318.333496,4339.615234,4284.487305,4298.589844,4315.128418,4273.333496,4260.128418,4413.717773,4413.077148,4339.230957,4415.641113
4334.487305,4310.897461,4335.256348,4331.282227,4341.282227,4287.179688,4297.692383,4325.384766,4284.871582,4270,4427.563965,4422.179688,4349.743652,4424.102539
4325.384766,4309.102539,4322.94873,4333.589844,4338.461426,4294.487305,4297.05127,4322.179688,4284.743652,4269.102539,4411.794922,4412.692383,4350.256348,4412.436035
4306.153809,4299.871582,4302.563965,4322.436035,4331.410156,4294.487305,4294.230957,4315.641113,4282.307617,4267.820313,4399.358887,4397.820313,4336.410156,4395.641113
4298.717773,4296.538574,4300,4319.230957,4332.307617,4293.717773,4294.487305,4316.153809,4284.230957,4265.256348,4407.179688,4401.794922,4337.307617,4400.512695
4303.974121,4302.563965,4306.153809,4328.077148,4335.641113,4299.871582,4298.205078,4317.692383,4285.512695,4266.282227,4411.153809,4415.128418,4353.589844,4410
4300.641113,4308.589844,4296.666504,4336.922852,4333.461426,4302.307617,4295.512695,4309.102539,4278.974121,4266.410156,4392.05127,4406.025879,4342.820313,4393.846191
4293.205078,4309.743652,4287.94873,4344.102539,4335.256348,4299.487305,4291.922852,4297.820313,4265.897461,4253.333496,4380,4384.358887,4317.05127,4374.358887
4299.871582,4311.666504,4292.94873,4351.410156,4345,4303.461426,4302.820313,4293.717773,4260.384766,4246.153809,4393.974121,4383.333496,4321.282227,4383.333496
4316.025879,4330,4305.641113,4365.641113,4352.94873,4313.205078,4312.820313,4296.666504,4268.461426,4262.179688,4417.563965,4398.461426,4359.230957,4405.128418
4321.282227,4335.897461,4317.692383,4369.358887,4352.94873,4313.077148,4308.077148,4297.692383,4271.282227,4268.589844,4421.794922,4411.410156,4365.512695,4413.717773
4317.05127,4308.974121,4318.461426,4353.205078,4347.179688,4302.307617,4303.461426,4296.410156,4264.615234,4254.230957,4401.666504,4413.974121,4320.512695,4408.077148
4314.230957,4299.615234,4310.384766,4343.205078,4344.487305,4296.025879,4301.282227,4293.974121,4261.922852,4247.692383,4393.205078,4404.615234,4317.05127,4401.153809
4306.538574,4303.717773,4302.692383,4333.974121,4343.717773,4296.153809,4296.410156,4285.641113,4263.205078,4249.871582,4403.974121,4387.179688,4365.641113,4395.384766
4294.230957,4270.769043,4294.871582,4310.384766,4339.102539,4294.615234,4292.820313,4284.102539,4265.769043,4254.102539,4414.230957,4374.871582,4390.128418,4393.717773
4285.641113,4226.410156,4285.769043,4291.153809,4332.436035,4287.436035,4287.179688,4293.589844,4275,4268.333496,4423.077148,4377.692383,4396.025879,4396.666504
4280.384766,4213.077148,4280,4283.846191,4327.692383,4280.128418,4284.230957,4296.794922,4278.974121,4272.94873,4433.077148,4380.256348,4412.94873,4395.512695
4279.615234,4214.487305,4279.871582,4278.846191,4325.641113,4281.153809,4287.179688,4293.461426,4278.205078,4267.692383,4432.94873,4376.153809,4403.589844,4390.384766
4277.94873,4209.102539,4281.025879,4278.205078,4324.615234,4283.205078,4284.615234,4288.077148,4279.743652,4273.846191,4407.05127,4375,4372.436035,4383.333496
4269.487305,4201.282227,4275.512695,4276.922852,4324.487305,4280.769043,4278.333496,4280.384766,4272.307617,4273.846191,4379.487305,4369.230957,4372.820313,4376.922852
4262.820313,4195.384766,4266.666504,4270.384766,4324.102539,4280.897461,4282.820313,4279.487305,4265.641113,4261.794922,4402.179688,4364.358887,4392.563965,4380.128418
4264.615234,4199.871582,4266.282227,4276.153809,4325,4284.487305,4289.871582,4282.820313,4272.436035,4270.512695,4440.256348,4371.153809,4390.897461,4386.794922
4270.641113,4206.538574,4274.743652,4294.230957,4329.102539,4284.102539,4289.230957,4281.666504,4277.436035,4282.94873,4438.333496,4378.974121,4384.871582,4389.102539
4282.436035,4218.717773,4285.897461,4310.256348,4337.563965,4283.461426,4286.282227,4286.538574,4277.94873,4273.205078,4436.794922,4383.077148,4408.717773,4398.974121
